"Site_id","Round","links_sps","num_compartments","NODF","link_dens","weigh_connectance","Shannon","int_evenness","Alatalo_int_evenness","H2","species.poll","species.pl","niche.overlap.poll","niche.overlap.plant","functional.comp.poll","functional.comp.plant","modularity","z","links.corr","nodf.corr","linkdens.corr","conn.corr","ala.corr","h2.corr","V26","V27"
",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA
"PinaresdeHinojos","7",0.782608695652174,5,0,2.47064609367839,0.107419395377321,2.67795000336388,0.579019620541773,0.707713864720378,0.907019018116289,17,6,0.230392156862745,0.0133333333333333,22.935530774092,23.3661660859248,"0.7408","4.75242256412302",-20.6060736854886,-2.08689822501196,-8.78259194382269,-11.1458186421238,-41.2441847334383,-43.3431151162604,-22.8702837035067,-1.61193937597911
"Esparragal","2",0.666666666666667,3,0,1.5,0.166666666666667,1.79175946922805,0.619906233284066,1,NA,6,3,0.2,0,4.24264068711929,6,"0.666667",NA,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA
"Esparragal","4",0.8,3,0,2.9537335634318,0.196915570895454,2.39590811929393,0.633136378213989,0.880182923663907,0.703918089034134,11,4,0.406060606060606,0.0833333333333333,11.1142556106605,12.0150449389685,"0.48","1.45014498076058",-14.5953055348535,-1.14412290333307,-6.24028234328797,-8.99710033582432,-27.1761745117526,-28.9389462528326,-28.0308929567153,-0.501389719549281
"Esparragal","5",0.85,3,2.60869565217391,2.83094732425312,0.141547366212656,2.6650690731287,0.617273053925291,0.767100278688981,0.741083053796861,15,5,0.286454230815133,0.0777358490566038,17.8769096057466,18.3656570450603,"0.587902","2.75493898010632",-16.7842880670497,0.300939276096086,-6.54744551227388,-9.23684547031434,-32.3505742214249,-34.3983702406283,-18.4699092978654,-1.68144437909407
"Esparragal","6",0.692307692307692,4,0,1.63348223622635,0.125652479709719,2.16395565688206,0.60386332374578,0.951700470111151,1,9,4,0.166666666666667,0,7.47870866461908,9.6493544754167,"0.74",NA,-26.0139516061093,NA,-18.4103853423463,-19.9182150988629,-42.4812032736103,-44.0412956067467,-54.8061250805625,0.565751881326553
"Esparragal","7",0.818181818181818,2,0,3.44444444444444,0.313131313131313,2.19722457733622,0.691374248086811,1,0,8,3,0.678571428571429,0.0833333333333333,3.9192377662307,6.69213042990246,"0.333333",NA,-16.8084051221245,NA,-7.2814184190004,-10.4127315503135,-26.5695822167546,-28.075432546004,-38.0010253183699,-1.41774468787578
"LaCunya","1",0.777777777777778,2,0,2.28571428571429,0.253968253968254,1.94591014905531,0.737350464962806,1,NA,7,2,0.428571428571429,0,2.82842712474619,5.29150262212918,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA
"LaCunya","2",0.75,2,0,2.16666666666667,0.270833333333333,1.79175946922805,0.661641895892028,1,0,5,3,0.5,0.133333333333333,3.98734574734408,5.38233234744176,"0.416667",NA,-11.0362417464387,NA,-5.21496927553101,-7.11080260886434,-13.6552837530164,-14.7854013263524,-28.2015679322333,-0.730121170133371
